geneSymbol	chromosome
MIR4684	chr1
AK025975	chr1
KDM1A	chr1
MIR3115	chr1
C1orf213	chr1
AX748204	chr1
MDS2	chr1
RPL11	chr1
TCEB3	chr1
PITHD1	chr1
LYPLA2	chr1
MIR378F	chr1
PNRC2	chr1
LOC284632	chr1
GRHL3	chr1
NIPAL3	chr1
RCAN3	chr1
NCMAP	chr1
SRRM1	chr1
CLIC4	chr1
Z24749	chr1
RHD	chr1
TMEM50A	chr1
TMEM57	chr1
LDLRAP1	chr1
MAN1C1	chr1
SEPN1	chr1
MTFR1L	chr1
EXTL1	chr1
PDIK1L	chr1
FAM110D	chr1
ZNF593	chr1
CNKSR1	chr1
CATSPER4	chr1
BC030768	chr1
CEP85	chr1
SH3BGRL3	chr1
CD52	chr1
LIN28A	chr1
DHDDS	chr1
HMGN2	chr1
RPS6KA1	chr1
MIR1976	chr1
ARID1A	chr1
PIGV	chr1
BC016143	chr1
ZDHHC18	chr1
SFN	chr1
NUDC	chr1
TRNP1	chr1
DL490887	chr1
WDTC1	chr1
TMEM222	chr1
LOC644961	chr1
SYTL1	chr1
GPR3	chr1
FAM76A	chr1
STX12	chr1
PPP1R8	chr1
SCARNA1	chr1
THEMIS2	chr1
SMPDL3B	chr1
XKR8	chr1
ATPIF1	chr1
JA611241	chr1
SESN2	chr1
MED18	chr1
PHACTR4	chr1
RCC1	chr1
SNHG3	chr1
TRNAU1AP	chr1
RAB42	chr1
RNU11	chr1
GMEB1	chr1
YTHDF2	chr1
OPRD1	chr1
EPB41	chr1
PTPRU	chr1
MATN1-AS1	chr1
ZCCHC17	chr1
SERINC2	chr1
LOC149086	chr1
LOC284551	chr1
TINAGL1	chr1
HCRTR1	chr1
KHDRBS1	chr1
TMEM39B	chr1
KPNA6	chr1
TXLNA	chr1
CCDC28B	chr1
IQCC	chr1
DCDC2B	chr1
EIF3I	chr1
FAM167B	chr1
LCK	chr1
HDAC1	chr1
TSSK3	chr1
ZBTB8A	chr1
ZBTB8B	chr1
RBBP4	chr1
KIAA1522	chr1
S100PBP	chr1
HPCA	chr1
BC036308	chr1
ADC	chr1
ZNF362	chr1
ZSCAN20	chr1
HMGB4	chr1
LOC402779	chr1
C1orf94	chr1
GJB5	chr1
GJB4	chr1
GJB3	chr1
GJA4	chr1
ZMYM1	chr1
ZMYM4	chr1
AF119915	chr1
NCDN	chr1
TFAP2E	chr1
AGO4	chr1
AGO1	chr1
AK025726	chr1
AGO3	chr1
TEKT2	chr1
ADPRHL2	chr1
MAP7D1	chr1
THRAP3	chr1
SH3D21	chr1
MIR4255	chr1
ZC3H12A	chr1
DNALI1	chr1
CDCA8	chr1
MANEAL	chr1
C1orf122	chr1
UTP11L	chr1
MIR3659	chr1
AKIRIN1	chr1
NDUFS5	chr1
MACF1	chr1
KIAA0754	chr1
BMP8A	chr1
PPIE	chr1
MFSD2A	chr1
BC069694	chr1
CAP1	chr1
RLF	chr1
TMCO2	chr1
ZMPSTE24	chr1
SMAP2	chr1
ZFP69B	chr1
ZFP69	chr1
EXO5	chr1
ZNF684	chr1
NFYC	chr1
MIR30E	chr1
MIR30C1	chr1
KCNQ4	chr1
CTPS1	chr1
SLFNL1-AS1	chr1
GUCA2B	chr1
RIMKLA	chr1
PPCS	chr1
CCDC30	chr1
PPIH	chr1
AF086102	chr1
YBX1	chr1
C1orf50	chr1
LOC100129924	chr1
ERMAP	chr1
ZNF691	chr1
BC043541	chr1
SLC2A1-AS1	chr1
AK309744	chr1
FAM183A	chr1
WDR65	chr1
TMEM125	chr1
TIE1	chr1
MPL	chr1
CDC20	chr1
SZT2	chr1
PTPRF	chr1
KDM4A	chr1
ST3GAL3	chr1
ARTN	chr1
IPO13	chr1
DPH2	chr1
ATP6V0B	chr1
B4GALT2	chr1
CCDC24	chr1
KLF17	chr1
DMAP1	chr1
RNF220	chr1
MIR5584	chr1
C1orf228	chr1
KIF2C	chr1
RPS8	chr1
SNORD55	chr1
SNORD46	chr1
SNORD38A	chr1
SNORD38B	chr1
PLK3	chr1
BTBD19	chr1
UROD	chr1
LOC400752	chr1
HPDL	chr1
TOE1	chr1
MMACHC	chr1
AKR1A1	chr1
NASP	chr1
TMEM69	chr1
MAST2	chr1
TSPAN1	chr1
LURAP1	chr1
RAD54L	chr1
UQCRH	chr1
NSUN4	chr1
FAAH	chr1
LOC729041	chr1
DMBX1	chr1
MKNK1-AS1	chr1
TEX38	chr1
EFCAB14-AS1	chr1
CYP4B1	chr1
CYP4X1	chr1
CYP4Z1	chr1
CYP4A22	chr1
LINC00853	chr1
CMPK1	chr1
FOXE3	chr1
FOXD2	chr1
SLC5A9	chr1
ELAVL4	chr1
CDKN2C	chr1
C1orf185	chr1
RNF11	chr1
OSBPL9	chr1
BTF3L4	chr1
ZFYVE9	chr1
PRPF38A	chr1
GPX7	chr1
FAM159A	chr1
ZYG11B	chr1
ZYG11A	chr1
SCP2	chr1
PODN	chr1
AX748428	chr1
CPT2	chr1
LOC100507564	chr1
AK097571	chr1
DMRTB1	chr1
DIO1	chr1
LRRC42	chr1
TCEANC2	chr1
MIR4781	chr1
MRPL37	chr1
ACOT11	chr1
HEATR8-TTC4	chr1
MROH7	chr1
TTC4	chr1
C1orf177	chr1
HP08874	chr1
TMEM61	chr1
BSND	chr1
PCSK9	chr1
LOC100507634	chr1
MIR4422	chr1
AK127270	chr1
PRKAA2	chr1
C8A	chr1
BC033978	chr1
BC047487	chr1
LOC100131060	chr1
FGGY	chr1
BC042048	chr1
HOOK1	chr1
NFIA	chr1
MGC34796	chr1
INADL	chr1
L1TD1	chr1
USP1	chr1
ANGPTL3	chr1
ATG4C	chr1
FOXD3	chr1
ALG6	chr1
EFCAB7	chr1
DLEU2L	chr1
PGM1	chr1
ROR1	chr1
UBE2U	chr1
CACHD1	chr1
AK026777	chr1
MIR4794	chr1
RAVER2	chr1
AK4	chr1
DNAJC6	chr1
AK123450	chr1
LEPR	chr1
LEPROT	chr1
PDE4B	chr1
SGIP1	chr1
MIR3117	chr1
TCTEX1D1	chr1
MIER1	chr1
IL23R	chr1
IL12RB2	chr1
GADD45A	chr1
GNG12-AS1	chr1
JB175146	chr1
BC020917	chr1
LRRC7	chr1
PIN1P1	chr1
SRSF11	chr1
HHLA3	chr1
CTH	chr1
BC041441	chr1
ZRANB2-AS1	chr1
ZRANB2-AS2	chr1
BC041341	chr1
FPGT-TNNI3K	chr1
TNNI3K	chr1
FPGT	chr1
CR627203	chr1
TYW3	chr1
LHX8	chr1
ACADM	chr1
MSH4	chr1
RABGGTB	chr1
SNORD45B	chr1
SNORD45A	chr1
SNORD45C	chr1
ST6GALNAC3	chr1
ST6GALNAC5	chr1
AF131837	chr1
AK5	chr1
FAM73A	chr1
NEXN	chr1
DNAJB4	chr1
GIPC2	chr1
MGC27382	chr1
PTGFR	chr1
IFI44L	chr1
IFI44	chr1
LPHN2	chr1
BC043544	chr1
HH834010	chr1
PRKACB	chr1
BC037304	chr1
SAMD13	chr1
DNASE2B	chr1
RPF1	chr1
SPATA1	chr1
WDR63	chr1
MIR4423	chr1
LOC646626	chr1
CYR61	chr1
AL832891	chr1
CLCA2	chr1
CLCA1	chr1
CLCA4	chr1
CLCA3P	chr1
SH3GLB1	chr1
HS2ST1	chr1
LOC339524	chr1
LMO4	chr1
PKN2	chr1
GBP6	chr1
GBP1P1	chr1
LRRC8B	chr1
LRRC8C	chr1
LRRC8D	chr1
ZNF326	chr1
CDC7	chr1
BRDT	chr1
EPHX4	chr1
BTBD8	chr1
KIAA1107	chr1
C1orf146	chr1
RPAP2	chr1
RPL5	chr1
SNORA66	chr1
SNORD21	chr1
MTF2	chr1
CCDC18	chr1
DR1	chr1
FNBP1L	chr1
LOC100129046	chr1
MIR760	chr1
AX746627	chr1
ABCD3	chr1
SLC44A3	chr1
LOC729970	chr1
RWDD3	chr1
TMEM56-RWDD3	chr1
TMEM56	chr1
FLJ31662	chr1
BC067883	chr1
PTBP2	chr1
PTBLP	chr1
DPYD-AS1	chr1
LOC729987	chr1
SNX7	chr1
LOC100129620	chr1
LPPR4	chr1
PALMD	chr1
MIR548AA1	chr1
AGL	chr1
SLC35A3	chr1
HIAT1	chr1
TRMT13	chr1
RTCA	chr1
MIR553	chr1
CDC14A	chr1
GPR88	chr1
VCAM1	chr1
SLC30A7	chr1
BX538249	chr1
BC045807	chr1
AK021551	chr1
S1PR1	chr1
DNAJA1P5	chr1
RNPC3	chr1
AMY2B	chr1
ACTG1P4	chr1
AMY2A	chr1
AMY1A	chr1
LOC100129138	chr1
PRMT6	chr1
NTNG1	chr1
VAV3-AS1	chr1
NBPF4	chr1
BC051808	chr1
NBPF6	chr1
FAM102B	chr1
PRPF38B	chr1
FNDC7	chr1
STXBP3	chr1
SPATA42	chr1
GPSM2	chr1
TMEM167B	chr1
SCARNA2	chr1
KIAA1324	chr1
SARS	chr1
CELSR2	chr1
SYPL2	chr1
ATXN7L2	chr1
CYB561D1	chr1
GPR61	chr1
GNAI3	chr1
MIR197	chr1
AMPD2	chr1
GSTM4	chr1
GSTM2	chr1
GSTM1	chr1
GSTM5	chr1
CSF1	chr1
AHCYL1	chr1
STRIP1	chr1
DQ574855	chr1
UBL4B	chr1
SLC6A17	chr1
KCNC4	chr1
RBM15	chr1
LAMTOR5-AS1	chr1
PROK1	chr1
CYMP	chr1
CD53	chr1
CEPT1	chr1
CHI3L2	chr1
CHIAP2	chr1
CHIA	chr1
PIFO	chr1
ATP5F1	chr1
C1orf162	chr1
RAP1A	chr1
AK023457	chr1
LOC100506343	chr1
DDX20	chr1
LOC643355	chr1
CTTNBP2NL	chr1
DKFZp547A023	chr1
AX747733	chr1
WNT2B	chr1
CAPZA1	chr1
MOV10	chr1
FAM19A3	chr1
HP08777	chr1
AKR7A2P1	chr1
BX648855	chr1
BC023568	chr1
BC047723	chr1
LRIG2	chr1
MAGI3	chr1
AP4B1-AS1	chr1
DCLRE1B	chr1
HIPK1	chr1
OLFML3	chr1
SYCP1	chr1
TSHB	chr1
VANGL1	chr1
BC043254	chr1
SLC22A15	chr1
MAB21L3	chr1
ATP1A1	chr1
MIR320B1	chr1
CD2	chr1
PTGFRN	chr1
CD101	chr1
TTF2	chr1
MIR942	chr1
MAN1A2	chr1
FAM46C	chr1
WDR3	chr1
AK125759	chr1
BC034623	chr1
BC063600	chr1
BC043601	chr1
HAO2	chr1
HSD3B2	chr1
HSD3B1	chr1
HSD3BP4	chr1
PHGDH	chr1
FAM72B	chr1
HIST2H2BA	chr1
SRGAP2D	chr1
EMBP1	chr1
CR936796	chr1
AK056396	chr1
DQ579288	chr1
DQ590589	chr1
BC071797	chr1
DQ592442	chr1
DQ596206	chr1
LOC100130000	chr1
DQ571491	chr1
SRGAP2B	chr1
LOC100288142	chr1
NBPF10	chr1
NBPF9	chr1
NBPF8	chr1
NBPF12	chr1
NOTCH2NL	chr1
HYDIN2	chr1
BC073801	chr1
AF420437	chr1
AL050141	chr1
BC065231	chr1
BX647792	chr1
SEC22B	chr1
HFE2	chr1
ANKRD34A	chr1
TXNIP	chr1
LIX1L	chr1
AK123675	chr1
RBM8A	chr1
PEX11B	chr1
ITGA10	chr1
ANKRD35	chr1
PIAS3	chr1
RNF115	chr1
PDZK1	chr1
GPR89C	chr1
PDIA3P	chr1
CHD1L	chr1
BCL9	chr1
GJA8	chr1
GPR89B	chr1
AK023548	chr1
AK023809	chr1
BC041003	chr1
AK311108	chr1
DQ577785	chr1
NBPF15	chr1
PPIAL4E	chr1
NBPF16	chr1
PPIAL4F	chr1
AK310441	chr1
LOC645166	chr1
BC062745	chr1
LOC388692	chr1
BC023516	chr1
FCGR1C	chr1
PPIAL4B	chr1
LINC00869	chr1
LINC00623	chr1
AX746564	chr1
AB074166	chr1
AB007962	chr1
FCGR1A	chr1
HIST2H4A	chr1
BC019846	chr1
HIST2H2AA4	chr1
HIST2H3C	chr1
HIST2H2AC	chr1
BOLA1	chr1
VPS45	chr1
PLEKHO1	chr1
CA14	chr1
C1orf54	chr1
C1orf51	chr1
MRPS21	chr1
PRPF3	chr1
RPRD2	chr1
TARS2	chr1
ECM1	chr1
LINC00568	chr1
ADAMTSL4	chr1
MIR4257	chr1
SETDB1	chr1
ANXA9	chr1
PRUNE	chr1
BNIPL	chr1
C1orf56	chr1
MLLT11	chr1
GABPB2	chr1
SCNM1	chr1
TNFAIP8L2-SCNM1	chr1
TNFAIP8L2	chr1
PIP5K1A	chr1
PSMD4	chr1
ZNF687	chr1
HV592965	chr1
HV592900	chr1
HV592953	chr1
HV592909	chr1
HV592934	chr1
HV592964	chr1
HV592982	chr1
PSMB4	chr1
CGN	chr1
TUFT1	chr1
MIR554	chr1
SNX27	chr1
KIAA0488	chr1
RIIAD1	chr1
OAZ3	chr1
BC038201	chr1
LOC100132111	chr1
AC2	chr1
AK056431	chr1
LCE5A	chr1
CRCT1	chr1
LCE3C	chr1
LCE3B	chr1
LCE2D	chr1
LCE2C	chr1
LCE2B	chr1
LCE2A	chr1
LCE4A	chr1
C1orf68	chr1
KPRP	chr1
LCE1F	chr1
LCE1E	chr1
LCE1D	chr1
LCE1B	chr1
LCE1A	chr1
LCE6A	chr1
SMCP	chr1
IVL	chr1
SPRR4	chr1
SPRR1A	chr1
SPRR3	chr1
SPRR1B	chr1
LELP1	chr1
PRR9	chr1
LOR	chr1
S100A9	chr1
S100A7A	chr1
AK307246	chr1
S100A1	chr1
CHTOP	chr1
DKFZp564E1082	chr1
SNAPIN	chr1
NPR1	chr1
INTS3	chr1
SLC27A3	chr1
CREB3L4	chr1
RPS27	chr1
UBAP2L	chr1
HAX1	chr1
AQP10	chr1
ATP8B2	chr1
IL6R	chr1
TDRD10	chr1
CHRNB2	chr1
CKS1B	chr1
MIR4258	chr1
FLAD1	chr1
LENEP	chr1
ZBTB7B	chr1
DCST1	chr1
ADAM15	chr1
EFNA4	chr1
EFNA3	chr1
EFNA1	chr1
AK308965	chr1
SLC50A1	chr1
TRIM46	chr1
AX746485	chr1
DM075093	chr1
MIR92B	chr1
MTX1	chr1
DQ786325	chr1
HCN3	chr1
FDPS	chr1
RUSC1	chr1
POU5F1P4	chr1
ASH1L-AS1	chr1
BC017347	chr1
MSTO1	chr1
DAP3	chr1
MSTO2P	chr1
SYT11	chr1
RXFP4	chr1
LAMTOR2	chr1
RAB25	chr1
LMNA	chr1
SEMA4A	chr1
SLC25A44	chr1
PMF1-BGLAP	chr1
PMF1	chr1
BGLAP	chr1
TMEM79	chr1
TSACC	chr1
RHBG	chr1
TTC24	chr1
APOA1BP	chr1
HAPLN2	chr1
BCAN	chr1
RRNAD1	chr1
PRCC	chr1
NTRK1	chr1
PEAR1	chr1
LRRC71	chr1
CYCSP52	chr1
AK057438	chr1
KIRREL	chr1
hCG_1995134	chr1
CD1D	chr1
CD1A	chr1
CD1C	chr1
CD1E	chr1
OR10K1	chr1
OR10R2	chr1
OR10Z1	chr1
OR6K6	chr1
MNDA	chr1
PYHIN1	chr1
IFI16	chr1
CADM3	chr1
DARC	chr1
FCER1A	chr1
OR10J1	chr1
APCS	chr1
DUSP23	chr1
FCRL6	chr1
SLAMF8	chr1
LOC100505633	chr1
KCNJ9	chr1
ATP1A2	chr1
ATP1A4	chr1
CASQ1	chr1
PEA15	chr1
SUMO1P3	chr1
NCSTN	chr1
NHLH1	chr1
VANGL2	chr1
SLAMF7	chr1
LY9	chr1
KLHDC9	chr1
NIT1	chr1
UFC1	chr1
USP21	chr1
PPOX	chr1
NDUFS2	chr1
FCER1G	chr1
TOMM40L	chr1
MIR5187	chr1
PCP4L1	chr1
SDHC	chr1
FCGR2A	chr1
HSPA6	chr1
FCGR2C	chr1
HSPA7	chr1
FCGR2B	chr1
FCRLA	chr1
FCRLB	chr1
DUSP12	chr1
ATF6	chr1
NOS1AP	chr1
MIR4654	chr1
MIR556	chr1
C1orf226	chr1
UHMK1	chr1
UAP1	chr1
DDR2	chr1
AF268386	chr1
HSD17B7	chr1
RGS4	chr1
NUF2	chr1
PBX1	chr1
AX748175	chr1
LRRC52	chr1
MGST3	chr1
LOC440700	chr1
BC071770	chr1
UCK2	chr1
MIR3658	chr1
FMO9P	chr1
POGK	chr1
MAEL	chr1
DUSP27	chr1
POU2F1	chr1
RCSD1	chr1
MPZL1	chr1
DCAF6	chr1
TIPRL	chr1
SFT2D2	chr1
TBX19	chr1
DQ576756	chr1
MIR557	chr1
XCL1	chr1
LINC00626	chr1
ATP1B1	chr1
BLZF1	chr1
C1orf112	chr1
METTL11B	chr1
MIR3119-2	chr1
GORAB	chr1
PRRX1	chr1
MROH9	chr1
FMO3	chr1
MIR1295B	chr1
FMO6P	chr1
FMO2	chr1
FMO1	chr1
FMO4	chr1
TOP1P1	chr1
PRRC2C	chr1
METTL13	chr1
AK094818	chr1
DNM3	chr1
MIR3120	chr1
C1orf105	chr1
SUCO	chr1
FASLG	chr1
PRDX6	chr1
LOC730159	chr1
KLHL20	chr1
DARS2	chr1
GAS5-AS1	chr1
ZBTB37	chr1
DQ593451	chr1
RABGAP1L	chr1
GPR52	chr1
CACYBP	chr1
TNN	chr1
AK093214	chr1
BC043291	chr1
PAPPA2	chr1
AK096718	chr1
FAM5B	chr1
RASAL2	chr1
TEX35	chr1
C1orf220	chr1
MIR4424	chr1
RALGPS2	chr1
FAM20B	chr1
TOR3A	chr1
DD413682	chr1
SOAT1	chr1
AXDND1	chr1
TDRD5	chr1
FAM163A	chr1
TOR1AIP1	chr1
CEP350	chr1
QSOX1	chr1
FLJ23867	chr1
AX747393	chr1
LHX4	chr1
BC036830	chr1
XPR1	chr1
KIAA1614	chr1
MR1	chr1
IER5	chr1
BC039493	chr1
GM140	chr1
AF387615	chr1
CACNA1E	chr1
LINC00272	chr1
RGSL1	chr1
LOC284648	chr1
DHX9	chr1
NPL	chr1
LAMC1	chr1
LAMC2	chr1
SMG7	chr1
RGL1	chr1
TSEN15	chr1
C1orf21	chr1
AX747662	chr1
RNF2	chr1
SWT1	chr1
JA611272	chr1
HMCN1	chr1
PRG4	chr1
C1orf27	chr1
OCLM	chr1
PLA2G4A	chr1
C1orf99	chr1
CR936711	chr1
LOC440704	chr1
RGS18	chr1
RGS21	chr1
RGS1	chr1
RGS13	chr1
RGS2	chr1
TROVE2	chr1
AK022030	chr1
CDC73	chr1
MIR1278	chr1
CFH	chr1
CFHR4	chr1
CFHR3	chr1
CFHR1	chr1
CFHR2	chr1
CFHR5	chr1
CRB1	chr1
C1orf53	chr1
LHX9	chr1
NEK7	chr1
PTPRC	chr1
NR5A2	chr1
EU250746	chr1
CAMSAP2	chr1
GPR25	chr1
C1orf106	chr1
C1orf81	chr1
BC016656	chr1
IGFN1	chr1
PKP1	chr1
RPS10P7	chr1
NAV1	chr1
MIR5191	chr1
MIR1231	chr1
IPO9	chr1
SHISA4	chr1
TIMM17A	chr1
RNPEP	chr1
ELF3	chr1
GPR37L1	chr1
PTPRVP	chr1
LGR6	chr1
PPP1R12B	chr1
KDM5B-AS1	chr1
LOC641515	chr1
LOC148709	chr1
TMEM183A	chr1
PPFIA4	chr1
ADORA1	chr1
BTG2	chr1
PRELP	chr1
OPTC	chr1
ATP2B4	chr1
U42379	chr1
SNORA77	chr1
LINC00260	chr1
LAX1	chr1
ZC3H11A	chr1
ZBED6	chr1
SNRPE	chr1
SOX13	chr1
BC038769	chr1
AK316092	chr1
MDM4	chr1
AK097184	chr1
NFASC	chr1
CNTN2	chr1
TMCC2	chr1
LEMD1-AS1	chr1
AK095633	chr1
CDK18	chr1
MFSD4	chr1
LOC284581	chr1
FAM72A	chr1
AVPR1B	chr1
CTSE	chr1
SRGAP2	chr1
SRGAP2C	chr1
IKBKE	chr1
RASSF5	chr1
DYRK3	chr1
MAPKAPK2	chr1
IL19	chr1
IL20	chr1
IL24	chr1
PFKFB2	chr1
C4BPB	chr1
C4BPA	chr1
AX229788	chr1
CD55	chr1
CR2	chr1
CR1	chr1
CR1L	chr1
CD46	chr1
LOC148696	chr1
MIR205HG	chr1
MIR205	chr1
CAMK1G	chr1
G0S2	chr1
HSD11B1	chr1
TRAF3IP3	chr1
DIEXF	chr1
SYT14	chr1
SERTAD4	chr1
HHAT	chr1
RCOR3	chr1
TRAF5	chr1
LINC00467	chr1
DTL	chr1
MIR3122	chr1
BC010168	chr1
PPP2R5A	chr1
SNORA16B	chr1
NENF	chr1
ATF3	chr1
FAM71A	chr1
TATDN3	chr1
FLVCR1	chr1
VASH2	chr1
RPS6KC1	chr1
LINC00538	chr1
PROX1	chr1
SMYD2	chr1
CENPF	chr1
KCNK2	chr1
KCTD3	chr1
SPATA17	chr1
LINC00210	chr1
RRP15	chr1
TGFB2	chr1
LYPLAL1	chr1
RNU5F-1	chr1
IARS2	chr1
DM119532	chr1
MARK1	chr1
C1orf115	chr1
MARC2	chr1
MARC1	chr1
BC045735	chr1
HLX	chr1
MIA3	chr1
BROX	chr1
AK025140	chr1
FAM177B	chr1
DISP1	chr1
C1orf65	chr1
CAPN2	chr1
AK124970	chr1
FBXO28	chr1
DEGS1	chr1
CNIH4	chr1
CNIH3	chr1
DNAH14	chr1
AK124056	chr1
SRP9	chr1
EPHX1	chr1
H3F3A	chr1
H3F3AP4	chr1
BC032899	chr1
BC033346	chr1
MIXL1	chr1
C1orf95	chr1
PSEN2	chr1
ADCK3	chr1
CABC1	chr1
BC039356	chr1
ZNF678	chr1
SNAP47	chr1
LOC100130093	chr1
PRSS38	chr1
DQ590432	chr1
DQ574660	chr1
DQ584939	chr1
DQ599799	chr1
DQ575010	chr1
DQ575955	chr1
WNT3A	chr1
ARF1	chr1
MIR3620	chr1
GUK1	chr1
GJC2	chr1
IBA57	chr1
OBSCN	chr1
HIST3H2BB	chr1
MIR4666A	chr1
RNF187	chr1
RHOU	chr1
DUSP5P1	chr1
RAB4A	chr1
SPHAR	chr1
URB2	chr1
GALNT2	chr1
COG2	chr1
CAPN9	chr1
BC032911	chr1
ARV1	chr1
TRIM67	chr1
GNPAT	chr1
SPRTN	chr1
TSNAX-DISC1	chr1
DISC1	chr1
TSNAX	chr1
MAP10	chr1
NTPCR	chr1
KIAA1804	chr1
KCNK1	chr1
MIR4427	chr1
SLC35F3	chr1
MIR4671	chr1
COA6	chr1
LINC00184	chr1
BC032040	chr1
LOC100506810	chr1
GGPS1	chr1
TBCE	chr1
AX747026	chr1
AX747246	chr1
GPR137B	chr1
EDARADD	chr1
LGALS8	chr1
ACTN2	chr1
MTR	chr1
RYR2	chr1
LOC100130331	chr1
CHRM3	chr1
RPS7P5	chr1
FMN2	chr1
MIR3123	chr1
KMO	chr1
WDR64	chr1
EXO1	chr1
SDCCAG8	chr1
MIR4677	chr1
LOC339529	chr1
ZBTB18	chr1
AK310634	chr1
C1orf100	chr1
C1orf101	chr1
DESI2	chr1
AX747535	chr1
COX20	chr1
EFCAB2	chr1
KIF26B	chr1
CNST	chr1
SCCPDH	chr1
LOC149134	chr1
VN1R5	chr1
NLRP3	chr1
OR2W5	chr1
GCSAML	chr1
AK130400	chr1
OR2G2	chr1
OR2G3	chr1
TRIM58	chr1
OR2W3	chr1
OR2T8	chr1
OR2L13	chr1
OR2L8	chr1
OR2AK2	chr1
OR2L1P	chr1
OR2L5	chr1
OR2L2	chr1
OR2L3	chr1
OR2M1P	chr1
OR2M5	chr1
OR2M2	chr1
OR2M3	chr1
OR2M4	chr1
OR14C36	chr1
OR2T4	chr1
OR2T6	chr1
OR2T1	chr1
OR2T2	chr1
OR2T3	chr1
OR2T5	chr1
OR2G6	chr1
MIR3124	chr1
ZNF672	chr1
PGBD2	chr1
WASH7P	chr1
FAM138F	chr1
LOC729737	chr1
JA429830	chr1
